version,filename,risk,domain,create_table,sequence_backed_id,enable_rls,creates_table_without_rls,create_policy,grant,creates_table_without_grant,sequence_grant,sequence_backed_id_without_sequence_grant,create_function,security_definer,sets_search_path,security_definer_without_search_path,cron,hardcoded_supabase_url,legacy_anon_jwt
<<<<<<< HEAD
20260609000000,20260609000000_ar_reminders_secure_cron.sql,low,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
20260609000100,20260609000100_add_increment_user_post_view_count_rpc.sql,high,security/auth,false,false,false,false,false,true,false,false,false,true,true,true,false,false,false,false
20260610000000,20260610000000_grant_channel_helper_execute.sql,high,security/auth,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
20260611000000,20260611000000_add_channel_subscriber_permissions.sql,high,security/auth,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260611000500,20260611000500_add_channel_permission_exceptions.sql,high,security/auth,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false
=======
>>>>>>> origin/main
20260612000000,20260612000000_add_store_default_language.sql,high,security/auth,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000100,20260612000100_store_products_owner_write_policies.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260612000200,20260612000200_add_ar_estimate_issue_and_start_dates.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000200,20260612000200_ar_invoices_estimates_mileage.sql,high,general,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000300,20260612000300_add_ar_invoice_issue_and_start_dates.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000300,20260612000300_ar_invoices_estimates_vsm_fields.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000400,20260612000400_ar_invoices_estimates_vehicle_engine.sql,high,general,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260613000000,20260613000000_ar_customer_vehicles_oil_specs.sql,high,general,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260614000000,20260614000000_zivosmedia_admin_customer_search_rpc.sql,high,security/auth,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false
<<<<<<< HEAD
=======
20260615000000,20260615000000_ar_customer_vehicles_engine_transmission.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260615000100,20260615000100_ar_customer_vehicles_drive_type.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260615000200,20260615000200_marketing_campaigns_owner_manage_policy.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260615000300,20260615000300_is_store_owner_recognize_store_profiles.sql,high,security/auth,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false
20260615000400,20260615000400_marketing_promotions_owner_rls.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260615000500,20260615000500_store_posts_owner_manage_policy.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260615000600,20260615000600_ads_daily_spend_owner_select.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260615000700,20260615000700_ar_ro_documents.sql,high,security/auth,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false
20260615000800,20260615000800_user_contacts_added_via_chat_request.sql,high,security/auth,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260616090000,20260616090000_notifications_user_owned_mutations.sql,high,security/auth,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
>>>>>>> origin/main
