version,filename,risk,domain,create_table,sequence_backed_id,enable_rls,creates_table_without_rls,create_policy,grant,creates_table_without_grant,sequence_grant,sequence_backed_id_without_sequence_grant,create_function,security_definer,sets_search_path,security_definer_without_search_path,cron,hardcoded_supabase_url,legacy_anon_jwt
20260605064721,20260605064721_zivo_software_domain_support_tables.sql,high,security/auth,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false
20260605064942,20260605064942_optimize_software_projects_rls.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260606000000,20260606000000_direct_paid_media_bundles.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260607000000,20260607000000_profile_metadata_completion.sql,high,security/auth,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false
20260608000000,20260608000000_account_hub_activity.sql,high,security/auth,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false
20260609000000,20260609000000_ar_reminders_secure_cron.sql,low,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
20260610000000,20260610000000_grant_channel_helper_execute.sql,high,security/auth,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
20260611000000,20260611000000_add_channel_subscriber_permissions.sql,high,security/auth,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260611000500,20260611000500_add_channel_permission_exceptions.sql,high,security/auth,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false
20260612000000,20260612000000_add_store_default_language.sql,high,security/auth,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000100,20260612000100_store_products_owner_write_policies.sql,high,security/auth,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20260612000200,20260612000200_add_ar_estimate_issue_and_start_dates.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000200,20260612000200_ar_invoices_estimates_mileage.sql,high,general,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000300,20260612000300_add_ar_invoice_issue_and_start_dates.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000300,20260612000300_ar_invoices_estimates_vsm_fields.sql,high,chat/social,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260612000400,20260612000400_ar_invoices_estimates_vehicle_engine.sql,high,general,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20260613000000,20260613000000_ar_customer_vehicles_oil_specs.sql,high,general,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
